2단계,,3단계　,,4단계,,등급
물질오용,A,물질오용/중독,A,중증 호흡곤란,AA,1
물질오용,A,물질오용/중독,A,쇼크,AB,1
물질오용,A,물질오용/중독,A,무의식(GCS 3-8),AC,1
물질오용,A,물질오용/중독,A,중등도 호흡곤란,AD,2
물질오용,A,물질오용/중독,A,혈역학적 장애,AE,2
물질오용,A,물질오용/중독,A,의식변화(GCS 9-13),AF,2
물질오용,A,물질오용/중독,A,"열,면역억제 상태",AG,2
물질오용,A,물질오용/중독,A,패혈증 의증(3 SIRS 기준만족),AH,2
물질오용,A,물질오용/중독,A,경증 호흡곤란,AI,3
물질오용,A,물질오용/중독,A,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
물질오용,A,물질오용/중독,A,"열(아파보임),<3 SIRS 기준  만족",AK,3
물질오용,A,물질오용/중독,A,"열(건강해보임), 1SIRS  기준만족(열)",AL,4
물질오용,A,물질오용/중독,A,고위험 물질/알 수 없는 물질,CA,2
물질오용,A,물질오용/중독,A,도주의 가능성이나 안전에 대한 위험,CB,2
물질오용,A,물질오용/중독,A,알려진 저독성 물질,CC,4
물질오용,A,과다복용,B,중증 호흡곤란,AA,1
물질오용,A,과다복용,B,쇼크,AB,1
물질오용,A,과다복용,B,무의식(GCS 3-8),AC,1
물질오용,A,과다복용,B,중등도 호흡곤란,AD,2
물질오용,A,과다복용,B,혈역학적 장애,AE,2
물질오용,A,과다복용,B,의식변화(GCS 9-13),AF,2
물질오용,A,과다복용,B,"열,면역억제 상태",AG,2
물질오용,A,과다복용,B,패혈증 의증(3 SIRS 기준만족),AH,2
물질오용,A,과다복용,B,경증 호흡곤란,AI,3
물질오용,A,과다복용,B,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
물질오용,A,과다복용,B,"열(아파보임),<3 SIRS 기준  만족",AK,3
물질오용,A,과다복용,B,"열(건강해보임), 1SIRS  기준만족(열)",AL,4
물질오용,A,과다복용,B,고위험 물질/알 수 없는 물질,CA,2
물질오용,A,과다복용,B,도주의 가능성이나 안전에 대한 위험,CB,2
물질오용,A,과다복용,B,계획적인 자살시도,CC,2
물질오용,A,과다복용,B,구체적인 계획이 없는 자살관념,CD,3
물질오용,A,과다복용,B,과다복용,CE,4
물질오용,A,물질금단,C,중증 호흡곤란,AA,1
물질오용,A,물질금단,C,쇼크,AB,1
물질오용,A,물질금단,C,무의식(GCS 3-8),AC,1
물질오용,A,물질금단,C,중등도 호흡곤란,AD,2
물질오용,A,물질금단,C,혈역학적 장애,AE,2
물질오용,A,물질금단,C,의식변화(GCS 9-13),AF,2
물질오용,A,물질금단,C,"열,면역억제 상태",AG,2
물질오용,A,물질금단,C,패혈증 의증(3 SIRS 기준만족),AH,2
물질오용,A,물질금단,C,경증 호흡곤란,AI,3
물질오용,A,물질금단,C,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
물질오용,A,물질금단,C,"열(아파보임),<3 SIRS 기준  만족",AK,3
물질오용,A,물질금단,C,"열(건강해보임), 1SIRS  기준만족(열)",AL,4
물질오용,A,물질금단,C,경련중,CA,1
물질오용,A,물질금단,C,"최근발작, 발작 후 상태, 초조",CB,2
물질오용,A,물질금단,C,도주의 가능성이나 안전에 대한 위험,CC,2
물질오용,A,물질금단,C,중증 불안/초조,CD,2
물질오용,A,물질금단,C,중등도 불안/초조,CE,3
물질오용,A,물질금단,C,경증 불안/초조,CF,4
정신건강,B,불안/위기상황,A,중증 불안/초조,CA,2
정신건강,B,불안/위기상황,A,도주의 가능성이나 안전에 대한 위험,CB,2
정신건강,B,불안/위기상황,A,중등도 불안/초조,CC,3
정신건강,B,불안/위기상황,A,경증 불안/초조,CD,4
정신건강,B,환각/망상,B,중등도 호흡곤란,AA,2
정신건강,B,환각/망상,B,혈역학적 장애,AB,2
정신건강,B,환각/망상,B,의식변화(GCS 9-13),AC,2
정신건강,B,환각/망상,B,"열,면역억제 상태",AD,2
정신건강,B,환각/망상,B,패혈증 의증(3 SIRS 기준만족),AE,2
정신건강,B,환각/망상,B,경증 호흡곤란,AF,3
정신건강,B,환각/망상,B,비정상 맥박수/맥박압 (혈역학적으로  안정),AG,3
정신건강,B,환각/망상,B,"열(아파보임),<3 SIRS 기준  만족",AH,3
정신건강,B,환각/망상,B,"열(건강해보임), 1SIRS  기준만족(열)",AI,4
정신건강,B,환각/망상,B,"급성 정신병, 중증 불안/초조, 도주의  가능성이나 안전에 대한 위험",CA,2
정신건강,B,환각/망상,B,중등도 불안/초조 또는  편집증(Paranoia)을 동반,CB,3
정신건강,B,환각/망상,B,"경증의 불안/ 초조, 안정되어 있음",CC,4
정신건강,B,환각/망상,B,만성적인 환각으로 인한 경증의  불안/초조,CD,5
정신건강,B,불면증,C,급성 불면증,CA,4
정신건강,B,불면증,C,만성 불면증,CB,5
정신건강,B,폭력/살인행위,D,자신 혹은 타인을 해치려는 구체적인  계획인 있거나 충동을 억제할 수 없는 상태,CA,1
정신건강,B,폭력/살인행위,D,도주의 가능성이나 안전에 대한 위험,CB,2
정신건강,B,폭력/살인행위,D,구체적 계획이 없는 폭력적인  생각(ideation),CC,3
정신건강,B,우울증/자살/자해,E,계획적인 자살시도,CA,2
정신건강,B,우울증/자살/자해,E,뚜렷한 자살의도,CB,2
정신건강,B,우울증/자살/자해,E,도주의 가능성이나 안전에 대한 위험,CC,2
정신건강,B,우울증/자살/자해,E,구체적인 계획이 없는 자살관념,CD,3
정신건강,B,우울증/자살/자해,E,"우울함, 자살 생각은 없음",CE,4
정신건강,B,사회문제,F,"육체적 학대, 정신적 학대, 심각한  감정적 스트레스",CA,3
정신건강,B,사회문제,F,대처하기 어려운 상태,CB,4
정신건강,B,사회문제,F,"만성, 비급성 상태",CC,5
정신건강,B,기괴한 행동,G,중등도 호흡곤란,AA,2
정신건강,B,기괴한 행동,G,혈역학적 장애,AB,2
정신건강,B,기괴한 행동,G,의식변화(GCS 9-13),AC,2
정신건강,B,기괴한 행동,G,"열,면역억제 상태",AD,2
정신건강,B,기괴한 행동,G,패혈증 의증(3 SIRS 기준만족),AE,2
정신건강,B,기괴한 행동,G,경증 호흡곤란,AF,3
정신건강,B,기괴한 행동,G,비정상 맥박수/맥박압 (혈역학적으로  안정),AG,3
정신건강,B,기괴한 행동,G,"열(아파보임),<3 SIRS 기준  만족",AH,3
정신건강,B,기괴한 행동,G,"열(건강해보임), 1SIRS  기준만족(열)",AI,4
정신건강,B,기괴한 행동,G,조절되지 않는 행동,CA,1
정신건강,B,기괴한 행동,G,도주의 가능성이나 안전에 대한 위험,CB,2
정신건강,B,기괴한 행동,G,조절되는 행동,CC,3
정신건강,B,기괴한 행동,G,해를 끼치지 않는 행동,CD,4
정신건강,B,기괴한 행동,G,"만성, 비급성 상태",CE,5
정신건강,B,환자의 복지에 대한 고려,H,싸움 또는 안전하지 않은 상황,CA,1
정신건강,B,환자의 복지에 대한 고려,H,도주의 가능성이나 학대가 반복될 위험,CB,2
정신건강,B,환자의 복지에 대한 고려,H,육체적 폭행 또는 성폭행,CC,3
정신건강,B,환자의 복지에 대한 고려,H,학대의 병력/징후,CD,4
신경과,C,의식수준의 변화,A,중증 호흡곤란,AA,1
신경과,C,의식수준의 변화,A,쇼크,AB,1
신경과,C,의식수준의 변화,A,무의식(GCS 3-8),AC,1
신경과,C,의식수준의 변화,A,중등도 호흡곤란,AD,2
신경과,C,의식수준의 변화,A,혈역학적 장애,AE,2
신경과,C,의식수준의 변화,A,의식변화(GCS 9-13),AF,2
신경과,C,의식수준의 변화,A,"열,면역억제 상태",AG,2
신경과,C,의식수준의 변화,A,패혈증 의증(3 SIRS 기준만족),AH,2
신경과,C,의식수준의 변화,A,경증 호흡곤란,AI,3
신경과,C,의식수준의 변화,A,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
신경과,C,의식수준의 변화,A,"열(아파보임),<3 SIRS 기준  만족",AK,3
신경과,C,의식수준의 변화,A,고위험성 사고기전,BA,2
신경과,C,의식수준의 변화,A,혈중 글루코스<54mg/dl 이고  관련증상을 동반,CA,2
신경과,C,착란,B,중등도 호흡곤란,AA,2
신경과,C,착란,B,혈역학적 장애,AB,2
신경과,C,착란,B,의식변화(GCS 9-13),AC,2
신경과,C,착란,B,"열,면역억제 상태",AD,2
신경과,C,착란,B,패혈증 의증(3 SIRS 기준만족),AE,2
신경과,C,착란,B,경증 호흡곤란,AF,3
신경과,C,착란,B,비정상 맥박수/맥박압 (혈역학적으로  안정),AG,3
신경과,C,착란,B,"열(아파보임),<3 SIRS 기준  만족",AH,3
신경과,C,착란,B,"열(건강해보임), 1SIRS  기준만족(열)",AI,4
신경과,C,착란,B,혈중 글루코스<54mg/dl 이고  관련증상을 동반,CA,2
신경과,C,착란,B,두통 또는 의식상태의 변화를 동반한  급성 착란,CB,2
신경과,C,착란,B,두통 또는 의식상태의 변화를 동반하지  않는 급성착란,CC,3
신경과,C,착란,B,"만성, 평상시에 비해 변화없음",CD,4
신경과,C,현훈,C,중증 호흡곤란,AA,1
신경과,C,현훈,C,쇼크,AB,1
신경과,C,현훈,C,무의식(GCS 3-8),AC,1
신경과,C,현훈,C,중등도 호흡곤란,AD,2
신경과,C,현훈,C,혈역학적 장애,AE,2
신경과,C,현훈,C,의식변화(GCS 9-13),AF,2
신경과,C,현훈,C,"열,면역억제 상태",AG,2
신경과,C,현훈,C,패혈증 의증(3 SIRS 기준만족),AH,2
신경과,C,현훈,C,경증 호흡곤란,AI,3
신경과,C,현훈,C,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
신경과,C,현훈,C,"열(아파보임),<3 SIRS 기준  만족",AK,3
신경과,C,현훈,C,자세변화에 의해 유발되지 않음  ±신경학적 증상의 동반,CA,2
신경과,C,현훈,C,"자세변화에 의해 발생, 다른 신경학적  증상 없음",CB,3
신경과,C,두통,D,중증 호흡곤란,AA,1
신경과,C,두통,D,쇼크,AB,1
신경과,C,두통,D,무의식(GCS 3-8),AC,1
신경과,C,두통,D,중등도 호흡곤란,AD,2
신경과,C,두통,D,혈역학적 장애,AE,2
신경과,C,두통,D,의식변화(GCS 9-13),AF,2
신경과,C,두통,D,"열,면역억제 상태",AG,2
신경과,C,두통,D,패혈증 의증(3 SIRS 기준만족),AH,2
신경과,C,두통,D,경증 호흡곤란,AI,3
신경과,C,두통,D,비정상 맥박수/맥박압 (혈역학적으로  안정),AJ,3
신경과,C,두통,D,"열(아파보임),<3 SIRS 기준  만족",AK,3
신경과,C,두통,D,"열(건강해보임), 1SIRS  기준만족(열)",AL,4
신경과,C,두통,D,급성 중심성 중증 통증(8-10),BA,2
신경과,C,두통,D,급성 중심성 중등도 통증(4-7),BB,3
신경과,C,두통,D,만성 중심성 중증 통증(8-10),BC,3
신경과,C,두통,D,급성 중심성 경증 통증(<4),BD,4
